Order 0	number of articles 11
0	Aisle 10	Location 41
1	Aisle 10	Location 8
2	Aisle 2	Location 8
3	Aisle 3	Location 0
4	Aisle 7	Location 25
5	Aisle 19	Location 32
6	Aisle 4	Location 1
7	Aisle 15	Location 18
8	Aisle 15	Location 8
9	Aisle 18	Location 0
10	Aisle 13	Location 28
Order 1	number of articles 20
0	Aisle 0	Location 10
1	Aisle 6	Location 42
2	Aisle 9	Location 27
3	Aisle 2	Location 36
4	Aisle 9	Location 17
5	Aisle 13	Location 28
6	Aisle 18	Location 19
7	Aisle 5	Location 8
8	Aisle 17	Location 35
9	Aisle 11	Location 3
10	Aisle 11	Location 40
11	Aisle 4	Location 2
12	Aisle 3	Location 26
13	Aisle 0	Location 3
14	Aisle 0	Location 25
15	Aisle 10	Location 18
16	Aisle 15	Location 5
17	Aisle 7	Location 31
18	Aisle 7	Location 34
19	Aisle 8	Location 36
Order 2	number of articles 15
0	Aisle 9	Location 41
1	Aisle 13	Location 0
2	Aisle 18	Location 35
3	Aisle 9	Location 32
4	Aisle 16	Location 43
5	Aisle 4	Location 15
6	Aisle 12	Location 13
7	Aisle 14	Location 11
8	Aisle 5	Location 8
9	Aisle 15	Location 32
10	Aisle 18	Location 43
11	Aisle 9	Location 13
12	Aisle 3	Location 40
13	Aisle 17	Location 21
14	Aisle 9	Location 3
Order 3	number of articles 22
0	Aisle 2	Location 24
1	Aisle 5	Location 27
2	Aisle 8	Location 33
3	Aisle 16	Location 12
4	Aisle 8	Location 32
5	Aisle 0	Location 42
6	Aisle 7	Location 35
7	Aisle 10	Location 27
8	Aisle 13	Location 16
9	Aisle 9	Location 5
10	Aisle 15	Location 4
11	Aisle 4	Location 20
12	Aisle 4	Location 31
13	Aisle 10	Location 19
14	Aisle 9	Location 9
15	Aisle 9	Location 21
16	Aisle 15	Location 1
17	Aisle 16	Location 44
18	Aisle 19	Location 40
19	Aisle 19	Location 39
20	Aisle 14	Location 23
21	Aisle 9	Location 10
Order 4	number of articles 8
0	Aisle 12	Location 12
1	Aisle 6	Location 39
2	Aisle 0	Location 29
