Order 0	number of articles 23
0	Aisle 17	Location 38
1	Aisle 13	Location 7
2	Aisle 12	Location 37
3	Aisle 10	Location 37
4	Aisle 13	Location 33
5	Aisle 1	Location 16
6	Aisle 15	Location 20
7	Aisle 10	Location 30
8	Aisle 17	Location 3
9	Aisle 13	Location 42
10	Aisle 1	Location 35
11	Aisle 1	Location 23
12	Aisle 1	Location 0
13	Aisle 11	Location 42
14	Aisle 3	Location 17
15	Aisle 19	Location 31
16	Aisle 5	Location 15
17	Aisle 9	Location 5
18	Aisle 6	Location 26
19	Aisle 1	Location 27
20	Aisle 4	Location 34
21	Aisle 15	Location 10
22	Aisle 7	Location 44
Order 1	number of articles 22
0	Aisle 15	Location 37
1	Aisle 2	Location 38
2	Aisle 13	Location 3
3	Aisle 16	Location 20
4	Aisle 7	Location 42
5	Aisle 17	Location 43
6	Aisle 13	Location 9
7	Aisle 2	Location 28
8	Aisle 11	Location 4
9	Aisle 13	Location 15
10	Aisle 2	Location 26
11	Aisle 7	Location 39
12	Aisle 17	Location 18
13	Aisle 19	Location 21
14	Aisle 8	Location 36
15	Aisle 18	Location 10
16	Aisle 5	Location 30
17	Aisle 8	Location 34
18	Aisle 9	Location 14
19	Aisle 12	Location 15
20	Aisle 0	Location 25
21	Aisle 5	Location 33
Order 2	number of articles 24
0	Aisle 0	Location 37
1	Aisle 13	Location 5
2	Aisle 2	Location 36
3	Aisle 6	Location 17
4	Aisle 19	Location 17
5	Aisle 15	Location 35
6	Aisle 18	Location 16
7	Aisle 10	Location 27
8	Aisle 12	Location 44
9	Aisle 7	Location 34
10	Aisle 10	Location 9
11	Aisle 11	Location 10
12	Aisle 3	Location 22
13	Aisle 6	Location 3
14	Aisle 19	Location 19
15	Aisle 6	Location 11
16	Aisle 1	Location 1
17	Aisle 17	Location 19
18	Aisle 16	Location 18
19	Aisle 2	Location 4
20	Aisle 15	Location 43
21	Aisle 13	Location 10
22	Aisle 0	Location 0
23	Aisle 3	Location 1
Order 3	number of articles 11
0	Aisle 16	Location 3
1	Aisle 11	Location 37
2	Aisle 11	Location 39
3	Aisle 18	Location 14
4	Aisle 13	Location 5
5	Aisle 15	Location 25
6	Aisle 0	Location 39
7	Aisle 3	Location 19
8	Aisle 7	Location 3
9	Aisle 7	Location 7
10	Aisle 19	Location 31
Order 4	number of articles 7
0	Aisle 0	Location 13
1	Aisle 7	Location 10
2	Aisle 8	Location 4
3	Aisle 13	Location 23
4	Aisle 8	Location 23
5	Aisle 19	Location 26
6	Aisle 1	Location 24
Order 5	number of articles 11
0	Aisle 8	Location 19
1	Aisle 2	Location 14
2	Aisle 13	Location 34
3	Aisle 10	Location 21
4	Aisle 8	Location 24
5	Aisle 19	Location 29
6	Aisle 3	Location 36
7	Aisle 8	Location 23
8	Aisle 7	Location 39
9	Aisle 10	Location 35
10	Aisle 2	Location 34
Order 6	number of articles 10
0	Aisle 5	Location 24
1	Aisle 14	Location 0
2	Aisle 4	Location 27
3	Aisle 19	Location 14
4	Aisle 5	Location 43
5	Aisle 15	Location 34
6	Aisle 15	Location 28
7	Aisle 15	Location 35
8	Aisle 6	Location 38
9	Aisle 5	Location 6
Order 7	number of articles 16
0	Aisle 2	Location 16
1	Aisle 18	Location 36
2	Aisle 14	Location 3
3	Aisle 7	Location 0
4	Aisle 9	Location 24
5	Aisle 12	Location 38
6	Aisle 0	Location 3
7	Aisle 10	Location 11
8	Aisle 16	Location 33
9	Aisle 10	Location 29
10	Aisle 15	Location 44
11	Aisle 19	Location 4
12	Aisle 15	Location 29
13	Aisle 13	Location 29
14	Aisle 13	Location 5
15	Aisle 14	Location 2
Order 8	number of articles 22
0	Aisle 15	Location 4
1	Aisle 0	Location 19
2	Aisle 13	Location 8
3	Aisle 3	Location 44
4	Aisle 16	Location 11
5	Aisle 7	Location 24
6	Aisle 6	Location 29
7	Aisle 18	Location 11
8	Aisle 19	Location 32
9	Aisle 4	Location 27
10	Aisle 7	Location 21
11	Aisle 16	Location 23
12	Aisle 9	Location 30
13	Aisle 1	Location 6
14	Aisle 14	Location 24
15	Aisle 11	Location 19
16	Aisle 2	Location 0
17	Aisle 8	Location 11
18	Aisle 19	Location 17
19	Aisle 5	Location 4
20	Aisle 0	Location 41
21	Aisle 14	Location 41
Order 9	number of articles 11
0	Aisle 18	Location 23
1	Aisle 18	Location 39
2	Aisle 2	Location 6
3	Aisle 9	Location 2
